time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,13.0,4.0,57,5
2025-05-29 00:00:00+00:00,,,3,1
2025-05-30 00:00:00+00:00,1.0,1.0,2,1
2025-05-31 00:00:00+00:00,5.0,5.0,2,2
2025-06-02 00:00:00+00:00,,,10,5
2025-06-03 00:00:00+00:00,2.0,2.0,6,4
2025-06-04 00:00:00+00:00,4.0,4.0,28,8
2025-06-05 00:00:00+00:00,,,7,4
2025-06-06 00:00:00+00:00,,,1,1
2025-06-07 00:00:00+00:00,3.0,3.0,1,1
2025-06-08 00:00:00+00:00,,,5,2
2025-06-09 00:00:00+00:00,,,1,1
2025-06-10 00:00:00+00:00,,,10,2
