time_iso8601,stars_cumulative
2022-02-24 00:00:00+00:00,1
2022-03-15 00:00:00+00:00,2
2022-03-16 00:00:00+00:00,3
2022-03-18 00:00:00+00:00,4
2022-03-20 00:00:00+00:00,5
2022-03-24 00:00:00+00:00,6
2022-04-01 00:00:00+00:00,7
2022-04-09 00:00:00+00:00,8
2022-04-12 00:00:00+00:00,9
2022-04-23 00:00:00+00:00,10
2022-04-24 00:00:00+00:00,12
2022-05-08 00:00:00+00:00,13
2022-05-09 00:00:00+00:00,14
2022-06-16 00:00:00+00:00,15
2022-06-25 00:00:00+00:00,16
2022-10-12 00:00:00+00:00,18
2022-12-14 00:00:00+00:00,19
2023-01-03 00:00:00+00:00,20
2023-01-13 00:00:00+00:00,21
2023-02-01 00:00:00+00:00,22
2023-02-13 00:00:00+00:00,23
2023-03-08 00:00:00+00:00,24
2023-04-07 00:00:00+00:00,25
2023-04-11 00:00:00+00:00,26
2023-04-18 00:00:00+00:00,27
2023-04-27 00:00:00+00:00,28
2023-05-05 00:00:00+00:00,29
2023-05-06 00:00:00+00:00,30
2023-05-10 00:00:00+00:00,32
2023-05-13 00:00:00+00:00,33
2023-05-14 00:00:00+00:00,35
2023-05-18 00:00:00+00:00,36
2023-06-10 00:00:00+00:00,37
2023-06-14 00:00:00+00:00,38
2023-06-17 00:00:00+00:00,39
2023-07-10 00:00:00+00:00,40
2023-07-23 00:00:00+00:00,41
2023-07-25 00:00:00+00:00,42
2023-07-29 00:00:00+00:00,43
2023-07-31 00:00:00+00:00,44
2023-08-16 00:00:00+00:00,45
2023-11-10 00:00:00+00:00,46
2023-11-16 00:00:00+00:00,47
2023-11-21 00:00:00+00:00,48
2023-12-01 00:00:00+00:00,49
2023-12-06 00:00:00+00:00,50
