time_iso8601,forks_cumulative
2021-10-12 00:00:00+00:00,1
2021-10-20 00:00:00+00:00,2
2021-11-08 00:00:00+00:00,3
2021-11-16 00:00:00+00:00,4
2022-01-20 00:00:00+00:00,5
2022-01-21 00:00:00+00:00,6
2022-02-01 00:00:00+00:00,7
2022-02-27 00:00:00+00:00,8
2022-03-10 00:00:00+00:00,9
2022-03-23 00:00:00+00:00,10
2022-03-26 00:00:00+00:00,11
2022-04-23 00:00:00+00:00,12
2022-05-19 00:00:00+00:00,13
2022-05-27 00:00:00+00:00,14
2022-06-16 00:00:00+00:00,15
2022-08-08 00:00:00+00:00,16
2022-08-10 00:00:00+00:00,17
2023-01-26 00:00:00+00:00,18
2023-02-13 00:00:00+00:00,19
2023-02-18 00:00:00+00:00,20
2023-02-22 00:00:00+00:00,21
2023-03-27 00:00:00+00:00,22
