time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,9,7,9.0,4.0
2025-12-05 00:00:00+00:00,6,5,7.0,3.0
2025-12-06 00:00:00+00:00,34,11,4.0,4.0
2025-12-07 00:00:00+00:00,7,4,2.0,2.0
2025-12-08 00:00:00+00:00,6,4,,
2025-12-09 00:00:00+00:00,11,8,,
2025-12-10 00:00:00+00:00,24,23,8.0,3.0
2025-12-11 00:00:00+00:00,9,6,9.0,5.0
2025-12-12 00:00:00+00:00,5,4,14.0,3.0
2025-12-13 00:00:00+00:00,39,10,10.0,3.0
2025-12-14 00:00:00+00:00,6,4,2.0,1.0
2025-12-15 00:00:00+00:00,4,3,14.0,5.0
2025-12-16 00:00:00+00:00,9,6,8.0,3.0
2025-12-17 00:00:00+00:00,4,3,17.0,6.0
