url_path,views_total,views_unique
/l3af-project/l3afd,14,11
/l3af-project/l3afd/pull/599,2,2
/l3af-project/l3afd/pull/740/files,2,2
/l3af-project/l3afd/blob/3300c770dfe70abeafa684d3cbc0adfa0bba303a/version.go,2,1
/l3af-project/l3afd/releases/tag/v2.1.0,2,1
/l3af-project/l3afd/blob/1aee30adb3157f5ce9a87bf275efa5e7cc80ffb2/bpfprogs/nfconfig.go,1,1
/l3af-project/l3afd/blob/3300c770dfe70abeafa684d3cbc0adfa0bba303a/main.go,1,1
/l3af-project/l3afd/blob/e4f755b9a215/apis/handlers/updateconfig.go,1,1
/l3af-project/l3afd/graphs/contributors,1,1
/l3af-project/l3afd/issues/588,1,1
