time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-11 00:00:00+00:00,16,12,1,1
2022-11-12 00:00:00+00:00,102,43,3,1
2022-11-13 00:00:00+00:00,28,24,5,4
2022-11-14 00:00:00+00:00,7,3,56,10
2022-11-15 00:00:00+00:00,1,1,22,5
2022-11-16 00:00:00+00:00,12,5,72,14
2022-11-17 00:00:00+00:00,3,2,3,1
2022-11-18 00:00:00+00:00,38,28,7,3
2022-11-19 00:00:00+00:00,73,37,14,4
2022-11-20 00:00:00+00:00,62,34,2,2
2022-11-21 00:00:00+00:00,66,36,20,9
2022-11-22 00:00:00+00:00,70,41,10,6
2022-11-23 00:00:00+00:00,61,35,15,5
2022-11-24 00:00:00+00:00,58,35,12,4
2022-11-25 00:00:00+00:00,71,33,7,2
2022-11-26 00:00:00+00:00,72,40,1,1
2022-11-27 00:00:00+00:00,23,15,0,0
2022-11-28 00:00:00+00:00,3,2,1,1
2022-11-29 00:00:00+00:00,3,2,11,7
2022-11-30 00:00:00+00:00,59,37,4,2
2022-12-01 00:00:00+00:00,62,38,5,4
2022-12-02 00:00:00+00:00,22,17,15,6
2022-12-03 00:00:00+00:00,15,5,2,2
2022-12-04 00:00:00+00:00,1,1,1,1
2022-12-05 00:00:00+00:00,42,37,1,1
2022-12-06 00:00:00+00:00,65,36,2,1
2022-12-07 00:00:00+00:00,68,37,7,1
2022-12-08 00:00:00+00:00,24,17,0,0
2022-12-09 00:00:00+00:00,3,2,2,2
2022-12-10 00:00:00+00:00,19,7,2,2
2022-12-11 00:00:00+00:00,12,8,5,3
2022-12-12 00:00:00+00:00,61,40,2,2
2022-12-13 00:00:00+00:00,62,42,15,5
2022-12-14 00:00:00+00:00,23,19,6,3
2022-12-15 00:00:00+00:00,1,1,3,2
2022-12-16 00:00:00+00:00,54,38,15,5
2022-12-17 00:00:00+00:00,90,49,15,3
2022-12-18 00:00:00+00:00,24,21,3,1
2022-12-19 00:00:00+00:00,55,40,8,4
2022-12-20 00:00:00+00:00,62,44,4,3
2022-12-21 00:00:00+00:00,22,19,6,5
2022-12-22 00:00:00+00:00,4,3,1,1
2022-12-23 00:00:00+00:00,3,3,1,1
2022-12-24 00:00:00+00:00,5,3,2,2
2022-12-25 00:00:00+00:00,15,13,15,2
2022-12-26 00:00:00+00:00,62,47,0,0
2022-12-27 00:00:00+00:00,60,46,25,3
2022-12-28 00:00:00+00:00,24,22,1,1
2022-12-29 00:00:00+00:00,9,4,0,0
2022-12-30 00:00:00+00:00,3,2,3,1
2022-12-31 00:00:00+00:00,9,4,0,0
2023-01-01 00:00:00+00:00,4,2,0,0
2023-01-02 00:00:00+00:00,4,3,6,4
2023-01-03 00:00:00+00:00,9,5,5,4
2023-01-04 00:00:00+00:00,7,4,9,4
2023-01-05 00:00:00+00:00,1,1,12,2
2023-01-06 00:00:00+00:00,1,1,9,6
2023-01-07 00:00:00+00:00,4,2,36,4
2023-01-08 00:00:00+00:00,1,1,1,1
2023-01-09 00:00:00+00:00,2,2,7,4
2023-01-10 00:00:00+00:00,4,3,11,4
2023-01-11 00:00:00+00:00,19,16,50,5
2023-01-12 00:00:00+00:00,65,49,19,7
2023-01-13 00:00:00+00:00,89,57,6,5
2023-01-14 00:00:00+00:00,145,85,7,3
2023-01-15 00:00:00+00:00,140,84,6,1
2023-01-16 00:00:00+00:00,129,71,1,1
2023-01-17 00:00:00+00:00,89,64,17,4
2023-01-18 00:00:00+00:00,65,43,54,7
2023-01-19 00:00:00+00:00,64,43,10,3
2023-01-20 00:00:00+00:00,22,19,9,5
2023-01-21 00:00:00+00:00,17,6,5,2
2023-01-22 00:00:00+00:00,64,41,17,3
2023-01-23 00:00:00+00:00,61,44,15,5
2023-01-24 00:00:00+00:00,25,22,11,5
2023-01-25 00:00:00+00:00,4,2,17,6
2023-01-26 00:00:00+00:00,3,2,9,5
2023-01-27 00:00:00+00:00,5,4,8,4
2023-01-28 00:00:00+00:00,22,5,43,9
2023-01-29 00:00:00+00:00,3,2,22,5
2023-01-30 00:00:00+00:00,5,4,13,6
2023-01-31 00:00:00+00:00,4,2,10,7
2023-02-01 00:00:00+00:00,3,2,8,7
2023-02-02 00:00:00+00:00,1,1,49,6
2023-02-03 00:00:00+00:00,6,4,7,4
2023-02-04 00:00:00+00:00,7,4,2,2
2023-02-05 00:00:00+00:00,5,3,2,2
2023-02-06 00:00:00+00:00,32,26,17,5
2023-02-07 00:00:00+00:00,64,49,25,4
2023-02-08 00:00:00+00:00,61,43,9,7
2023-02-09 00:00:00+00:00,21,20,6,4
2023-02-10 00:00:00+00:00,2,1,2,2
2023-02-11 00:00:00+00:00,12,4,1,1
2023-02-12 00:00:00+00:00,2,2,1,1
2023-02-13 00:00:00+00:00,4,4,11,9
2023-02-14 00:00:00+00:00,2,2,4,3
2023-02-15 00:00:00+00:00,7,3,28,9
2023-02-16 00:00:00+00:00,3,3,10,4
2023-02-17 00:00:00+00:00,9,2,19,8
2023-02-18 00:00:00+00:00,3,2,32,2
2023-02-19 00:00:00+00:00,2,2,19,4
2023-02-20 00:00:00+00:00,20,2,50,6
2023-02-21 00:00:00+00:00,3,2,28,11
2023-02-22 00:00:00+00:00,20,3,121,11
